review_id,created_at,channel,customer_type,product_category,product,verified_purchase,rating,review_text,sentiment
REV-102227,2025-04-11 13:15:00,marketplace,returning_customer,home,coffee maker,yes,1,the coffee maker was support did not solve my issue. i ordered after reading other reviews. pls,negative
REV-111504,2025-07-12 22:53:00,social_media,returning_customer,electronics,wireless earbuds,no,5,battery life is impressive — this wireless earbuds was my recent purchase. I bought it during the sale.in my case,positive
REV-108084,2025-01-07 23:37:00,website,premium_customer,electronics,wireless earbuds,yes,5,About the wireless earbuds: easy to use. The packaging looked normal.in my case,positive
REV-100566,2025-04-14 17:08:00,social_media,returning_customer,electronics,laptop,yes,5,I bought the laptop and honestly it was the product is okay. The packaging looked normal. 👍,neutral
REV-107277,2026-02-22 20:48:00,mobile_app,premium_customer,home,desk lamp,yes,3,I bought the desk lamp and honestly it was very disappointed. I purchased this for daily use. 👍,negative
REV-103465,2025-08-05 23:25:00,marketplace,returning_customer,,hoodie,yes,4,My experience with the hoodie was arrived safely. This was my first order from the app. imo,positive
REV-103341,2025-10-20 23:07:00,website,premium_customer,electronics,bluetooth speaker,yes,3,i bought the bluetooth speaker and honestly it was quality is acceptable. i ordered it last week. honestly,neutral
REV-111852,2025-06-21 15:55:00,website,returning_customer,home,desk lamp,yes,4,I  bought  the  desk  lamp  and  honestly  it  was  excellent  quality.  The  packaging  looked  normal.for me,positive
REV-103193,2025-04-26 08:56:00,mobile_app,returning_customer,electronics,bluetooth speaker,yes,5,I bought the bluetooth speaker and honestly it was the product is okay. I needed it for work. pls,neutral
REV-107802,2026-05-08 12:41:00,website,returning_customer,electronics,power bank,no,5,i bought the power bank and honestly it was great purchase. the packaging looked normal. btw,positive
REV-102128,2025-07-03 10:55:00,marketplace,returning_customer,home,desk lamp,yes,4,The desk lamp was really happy with this. The packaging looked normal. still,positive
REV-101123,2025-07-03 12:33:00,mobile_app,new_customer,home,office chair,yes,2,The office chair was refund is still pending. I ordered after reading other reviews. 👎,negative
REV-103800,2025-08-20 09:28:00,website,returning_customer,electronics,power bank,yes,2,About the power bank: not worth the money. I ordered it last week.,negative
REV-109043,2025-01-09 12:53:00,mobile_app,returning_customer,home,office chair,yes,1,My experience with the office chair was support did not solve my issue. The order arrived in three days. imo,negative
REV-109124,2025-09-16 12:27:00,mobile_app,returning_customer,home,office chair,yes,5,works perfectly — this office chair was my recent purchase. The order arrived in three days. 😕,positive
REV-107883,2025-03-09 02:31:00,social_media,returning_customer,home,air fryer,yes,3,The air fryer was quality feels premium. I compared it with two other options.,positive
REV-111848,2025-12-15 03:13:00,marketplace,returning_customer,beauty,face wash,yes,5,about  the  face  wash:  five  stars  from  me.  i  bought  it  during  the  sale. still,positive
REV-111791,2025-11-11 00:26:00,mobile_app,returning_customer,electronics,laptop,yes,4,my experience with the laptop was looks great. i ordered after reading other reviews.,positive
REV-103434,2025-05-02 10:55:00,mobile_app,new_customer,home,coffee maker,yes,5,My experience with the coffee maker was really happy with this. I purchased this for daily use. 👎,positive
REV-108759,2025-07-11 00:01:00,website,,beauty,sunscreen,yes,2,i bought the sunscreen and honestly it was not bad but not great. the packaging looked normal. lol,neutral
REV-105749,2025-09-06 03:21:00,social_media,returning_customer,fashion,running shoes,yes,3,very good value for mny — this running shoes was my recent purchase. The packaging looked normal. 😕,positive
REV-100251,2026-03-18 17:49:00,mobile_app,returning_customer,,office chair,no,1,about the office chair: stopped working after a few days. this was a gift for my brother. honestly,negative
